Family,Major_Control,Sub-part,Title,Description,conlow,conmed,conhigh,integlow,integmed,integhigh,availlow,availmed,availhigh
ACCESS CONTROL,AC-16,AC-16b,SECURITY ATTRIBUTES,Ensures that the security attribute associations are made and retained with the information;,,+,+,,+,+,,,
ACCESS CONTROL,AC-16,AC-16c,SECURITY ATTRIBUTES,Establishes the permitted [Assignment: organization-defined security attributes] for [Assignment: organization-defined information systems]; and,,+,+,,+,+,,,
ACCESS CONTROL,AC-16,AC-16d,SECURITY ATTRIBUTES,Determines the permitted [Assignment: organization-defined values or ranges] for each of the established security attributes.,,+,+,,+,+,,,
ACCESS CONTROL,AC-16 (1),AC-16 (1),DYNAMIC ATTRIBUTE ASSOCIATION,The information system dynamically associates security attributes with [Assignment: organization-defined subjects and objects] in accordance with [Assignment: organization-defined security policies] as information is created and combined.,,,,,,,,,
ACCESS CONTROL,AC-16 (2),AC-16 (2),ATTRIBUTE VALUE CHANGES BY AUTHORIZED INDIVIDUALS,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to define or change the value of associated security attributes.,,,,,,,,,
ACCESS CONTROL,AC-16 (3),AC-16 (3),MAINTENANCE OF ATTRIBUTE ASSOCIATIONS BY INFORMATION SYSTEM,The information system maintains the association and integrity of [Assignment: organization-defined security attributes] to [Assignment: organization-defined subjects and objects].,,,,,,,,,
ACCESS CONTROL,AC-16 (4),AC-16 (4),ASSOCIATION OF ATTRIBUTES BY AUTHORIZED INDIVIDUALS,The information system supports the association of [Assignment: organization-defined security attributes] with [Assignment: organization-defined subjects and objects] by authorized individuals (or processes acting on behalf of individuals).,,,,,,,,,
ACCESS CONTROL,AC-16 (5),AC-16 (5),ATTRIBUTE DISPLAYS FOR OUTPUT DEVICES,"The information system displays security attributes in human-readable form on each object that the system transmits to output devices to identify [Assignment: organization-identified special dissemination, handling, or distribution instructions] using [Assignment: organization-identified human-readable, standard naming conventions].",,,,,,,,,
ACCESS CONTROL,AC-16 (6),AC-16 (6),MAINTENANCE OF ATTRIBUTE ASSOCIATION BY ORGANIZATION,"The organization allows personnel to associate, and maintain the association of [Assignment: organization-defined security attributes] with [Assignment: organization-defined subjects and objects] in accordance with [Assignment: organization-defined security policies].",,+,+,,+,+,,,
ACCESS CONTROL,AC-16 (7),AC-16 (7),CONSISTENT ATTRIBUTE INTERPRETATION,The organization provides a consistent interpretation of security attributes transmitted between distributed information system components.,,,,,,,,,
ACCESS CONTROL,AC-16 (8),AC-16 (8),ASSOCIATION TECHNIQUES / TECHNOLOGIES,The information system implements [Assignment: organization-defined techniques or technologies] with [Assignment: organization-defined level of assurance] in associating security attributes to information.,,,,,,,,,
ACCESS CONTROL,AC-16 (9),AC-16 (9),ATTRIBUTE REASSIGNMENT,The organization ensures that security attributes associated with information are reassigned only via re-grading mechanisms validated using [Assignment: organization-defined techniques or procedures].,,,,,,,,,
ACCESS CONTROL,AC-16 (10),AC-16 (10),ATTRIBUTE CONFIGURATION BY AUTHORIZED INDIVIDUALS,The information system provides authorized individuals the capability to define or change the type and value of security attributes available for association with subjects and objects.,,,,,,,,,
ACCESS CONTROL,AC-17,AC-17,REMOTE ACCESS,The organization:,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-17,AC-17a,REMOTE ACCESS,"Establishes and documents usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and",X,X,X,X,X,X,,,
ACCESS CONTROL,AC-17,AC-17b,REMOTE ACCESS,Authorizes remote access to the information system prior to allowing such connections.,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-17 (1),AC-17 (1),AUTOMATED MONITORING / CONTROL,The information system monitors and controls remote access methods.,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-17 (2),AC-17 (2),PROTECTION OF CONFIDENTIALITY / INTEGRITY USING ENCRYPTION,The information system implements cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-17 (3),AC-17 (3),MANAGED ACCESS CONTROL POINTS,The information system routes all remote accesses through [Assignment: organization-defined number] managed network access control points.,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-17 (4),AC-17 (4),PRIVILEGED COMMANDS / ACCESS,The organization:,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-17 (4),AC-17 (4)(a),PRIVILEGED COMMANDS / ACCESS,Authorizes the execution of privileged commands and access to security-relevant information via remote access only for [Assignment: organization-defined needs]; and,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-17 (4),AC-17 (4)(b),PRIVILEGED COMMANDS / ACCESS,Documents the rationale for such access in the security plan for the information system.,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-17 (5),AC-17 (5),MONITORING FOR UNAUTHORIZED CONNECTIONS,[Withdrawn: Incorporated into SI-4].,,,,,,,,,
ACCESS CONTROL,AC-17 (6),AC-17 (6),PROTECTION OF INFORMATION,The organization ensures that users protect information about remote access mechanisms from unauthorized use and disclosure.,+,+,+,,,,,,
ACCESS CONTROL,AC-17 (7),AC-17 (7),ADDITIONAL PROTECTION FOR SECURITY FUNCTION ACCESS,[Withdrawn: Incorporated into AC-3 (10)].,,,,,,,,,
ACCESS CONTROL,AC-17 (8),AC-17 (8),DISABLE NONSECURE NETWORK PROTOCOLS,[Withdrawn: Incorporated into CM-7].,,,,,,,,,
ACCESS CONTROL,AC-17 (9),AC-17 (9),DISCONNECT / DISABLE ACCESS,The organization provides the capability to expeditiously disconnect or disable remote access to the information system within [Assignment: organization-defined time period].,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-18,AC-18,WIRELESS ACCESS,The organization:,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-18,AC-18a,WIRELESS ACCESS,"Establishes usage restrictions, configuration/connection requirements, and implementation guidance for wireless access; and",X,X,X,X,X,X,,,
ACCESS CONTROL,AC-18,AC-18b,WIRELESS ACCESS,Authorizes wireless access to the information system prior to allowing such connections.,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-18 (1),AC-18 (1),AUTHENTICATION AND ENCRYPTION,The information system protects wireless access to the system using authentication of [Selection (one or more): users; devices] and encryption.,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-18 (2),AC-18 (2),MONITORING UNAUTHORIZED CONNECTIONS,[Withdrawn: Incorporated into SI-4].,,,,,,,,,
ACCESS CONTROL,AC-18 (3),AC-18 (3),DISABLE WIRELESS NETWORKING,"The organization disables, when not intended for use, wireless networking capabilities internally embedded within information system components prior to issuance and deployment.",+,+,+,+,+,+,,,
ACCESS CONTROL,AC-18 (4),AC-18 (4),RESTRICT CONFIGURATIONS BY USERS,The organization identifies and explicitly authorizes users allowed to independently configure wireless networking capabilities.,+,+,X,+,+,X,,,
ACCESS CONTROL,AC-18 (5),AC-18 (5),ANTENNAS / TRANSMISSION POWER LEVELS,The organization selects radio antennas and calibrates transmission power levels to reduce the probability that usable signals can be received outside of organization-controlled boundaries.,,,X,,,X,,,
ACCESS CONTROL,AC-19,AC-19,ACCESS CONTROL FOR MOBILE DEVICES,The organization:,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-19,AC-19a,ACCESS CONTROL FOR MOBILE DEVICES,"Establishes usage restrictions, configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices; and",X,X,X,X,X,X,,,
ACCESS CONTROL,AC-19,AC-19b,ACCESS CONTROL FOR MOBILE DEVICES,Authorizes the connection of mobile devices to organizational information systems.,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-19 (1),AC-19 (1),USE OF  WRITABLE / PORTABLE STORAGE DEVICES,[Withdrawn: Incorporated into MP-7].,,,,,,,,,
ACCESS CONTROL,AC-19 (2),AC-19 (2),USE OF PERSONALLY OWNED PORTABLE STORAGE DEVICES,[Withdrawn: Incorporated into MP-7].,,,,,,,,,
ACCESS CONTROL,AC-19 (3),AC-19 (3),USE OF PORTABLE STORAGE DEVICES WITH NO IDENTIFIABLE OWNER,[Withdrawn: Incorporated into MP-7].,,,,,,,,,
ACCESS CONTROL,AC-19 (4),AC-19 (4),RESTRICTIONS FOR CLASSIFIED INFORMATION,The organization:,,,,,,,,,
ACCESS CONTROL,AC-19 (4),AC-19 (4)(a),RESTRICTIONS FOR CLASSIFIED INFORMATION,"Prohibits the use of unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information unless specifically permitted by the authorizing official; and",,,,,,,,,
ACCESS CONTROL,AC-19 (4),AC-19 (4)(b),RESTRICTIONS FOR CLASSIFIED INFORMATION,"Enforces the following restrictions on individuals permitted by the authorizing official to use unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information:",,,,,,,,,
ACCESS CONTROL,AC-19 (4),AC-19 (4)(b)(1),RESTRICTIONS FOR CLASSIFIED INFORMATION,Connection of unclassified mobile devices to classified information systems is prohibited;,,,,,,,,,
ACCESS CONTROL,AC-19 (4),AC-19 (4)(b)(2),RESTRICTIONS FOR CLASSIFIED INFORMATION,Connection of unclassified mobile devices to unclassified information systems requires approval from the authorizing official;,,,,,,,,,
ACCESS CONTROL,AC-19 (4),AC-19 (4)(b)(3),RESTRICTIONS FOR CLASSIFIED INFORMATION,Use of internal or external modems or wireless interfaces within the unclassified mobile devices is prohibited; and,,,,,,,,,
ACCESS CONTROL,AC-19 (4),AC-19 (4)(b)(4),RESTRICTIONS FOR CLASSIFIED INFORMATION,"Unclassified mobile devices and the information stored on those devices are subject to random reviews and inspections by [Assignment: organization-defined security officials], and if classified information is found, the incident handling policy is followed.",,,,,,,,,
ACCESS CONTROL,AC-19 (4),AC-19 (4)(c),RESTRICTIONS FOR CLASSIFIED INFORMATION,Restricts the connection of classified mobile devices to classified information systems in accordance with [Assignment: organization-defined security policies].,,,,,,,,,
ACCESS CONTROL,AC-19 (5),AC-19 (5),FULL DEVICE / CONTAINER-BASED  ENCRYPTION,The organization employs [Selection: full-device encryption; container encryption] to protect the confidentiality and integrity of information on [Assignment: organization-defined mobile devices].,,X,X,,X,X,,,
ACCESS CONTROL,AC-20,AC-20,USE OF EXTERNAL INFORMATION SYSTEMS,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to:",X,X,X,X,X,X,,,
ACCESS CONTROL,AC-20,AC-20a,USE OF EXTERNAL INFORMATION SYSTEMS,Access the information system from external information systems; and,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-20,AC-20b,USE OF EXTERNAL INFORMATION SYSTEMS,"Process, store, or transmit organization-controlled information using external information systems.",X,X,X,X,X,X,,,
ACCESS CONTROL,AC-20 (1),AC-20 (1),LIMITS ON AUTHORIZED USE,"The organization permits authorized individuals to use an external information system to access the information system or to process, store, or transmit organization-controlled information only when the organization:",+,X,X,+,X,X,,,
ACCESS CONTROL,AC-20 (1),AC-20 (1)(a),LIMITS ON AUTHORIZED USE,Verifies the implementation of required security controls on the external system as specified in the organization's information security policy and security plan; or,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-20 (1),AC-20 (1)(b),LIMITS ON AUTHORIZED USE,Retains approved information system connection or processing agreements with the organizational entity hosting the external information system.,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-20 (2),AC-20 (2),PORTABLE STORAGE DEVICES,The organization [Selection: restricts; prohibits] the use of organization-controlled portable storage devices by authorized individuals on external information systems.,+,X,X,,,,,,
ACCESS CONTROL,AC-20 (3),AC-20 (3),NON-ORGANIZATIONALLY OWNED SYSTEMS / COMPONENTS / DEVICES,"The organization [Selection: restricts; prohibits] the use of non-organizationally owned information systems, system components, or devices to process, store, or transmit organizational information.",+,+,+,+,+,+,,,
ACCESS CONTROL,AC-20 (4),AC-20 (4),NETWORK ACCESSIBLE STORAGE DEVICES,The organization prohibits the use of [Assignment: organization-defined network accessible storage devices] in external information systems.,,,,,,,,,
ACCESS CONTROL,AC-21,AC-21,INFORMATION SHARING,The organization:,,X,X,,,,,,
ACCESS CONTROL,AC-21,AC-21a,INFORMATION SHARING,Facilitates information sharing by enabling authorized users to determine whether access authorizations assigned to the sharing partner match the access restrictions on the information for [Assignment: organization-defined information sharing circumstances where user discretion is required]; and,,X,X,,,,,,
ACCESS CONTROL,AC-21,AC-21b,INFORMATION SHARING,Employs [Assignment: organization-defined automated mechanisms or manual processes] to assist users in making information sharing/collaboration decisions.,,X,X,,,,,,
ACCESS CONTROL,AC-21 (1),AC-21 (1),AUTOMATED DECISION SUPPORT,The information system enforces information-sharing decisions by authorized users based on access authorizations of sharing partners and access restrictions on information to be shared.,,,,,,,,,
ACCESS CONTROL,AC-21 (2),AC-21 (2),INFORMATION SEARCH AND RETRIEVAL,The information system implements information search and retrieval services that enforce [Assignment: organization-defined information sharing restrictions].,,,,,,,,,
ACCESS CONTROL,AC-22,AC-22,PUBLICLY ACCESSIBLE CONTENT,The organization:,X,X,X,,,,,,
ACCESS CONTROL,AC-22,AC-22a,PUBLICLY ACCESSIBLE CONTENT,Designates individuals authorized to post information onto a publicly accessible information system;,X,X,X,,,,,,
ACCESS CONTROL,AC-22,AC-22b,PUBLICLY ACCESSIBLE CONTENT,Trains authorized individuals to ensure that publicly accessible information does not contain nonpublic information;,X,X,X,,,,,,
ACCESS CONTROL,AC-22,AC-22c,PUBLICLY ACCESSIBLE CONTENT,Reviews the proposed content of information prior to posting onto the publicly accessible information system to ensure that nonpublic information is not included; and,X,X,X,,,,,,
ACCESS CONTROL,AC-22,AC-22d,PUBLICLY ACCESSIBLE CONTENT,"Reviews the content on the publicly accessible information system for nonpublic information [Assignment: organization-defined frequency] and removes such information, if discovered.",X,X,X,,,,,,
ACCESS CONTROL,AC-23,AC-23,DATA MINING PROTECTION,The organization employs [Assignment: organization-defined data mining prevention and detection techniques] for [Assignment: organization-defined data storage objects] to adequately detect and protect against data mining.,,+,+,,,,,,
